Datum / Uhrzeit,Netzbezug [W],Netzeinspeisung [W],Erzeugung [W],Speicher Beladung [W],Speicher Entladung [W],Verbrauch [W],Ladezustand [%]
03.01.2023 08:30:00 +0200,1236,0,0,28,0,1207,10
03.01.2023 08:45:00 +0200,1229,0,0,28,0,1201,10
03.01.2023 09:00:00 +0200,1230,0,0,28,0,1202,10
03.01.2023 09:15:00 +0200,1229,0,3,28,0,1201,10
03.01.2023 09:30:00 +0200,1307,0,27,28,0,1306,10
03.01.2023 09:45:00 +0200,1291,0,48,28,0,1311,10
03.01.2023 10:00:00 +0200,1332,0,75,28,0,1378,10
03.01.2023 10:15:00 +0200,952,0,255,28,0,1172,10
03.01.2023 10:30:00 +0200,513,0,651,29,0,1135,10
03.01.2023 10:45:00 +0200,443,0,878,29,0,1291,10
03.01.2023 11:00:00 +0200,503,0,1187,345,0,1331,11
03.01.2023 11:15:00 +0200,29,0,1588,1102,0,506,13
03.01.2023 11:30:00 +0200,18,0,908,66,0,911,15
03.01.2023 11:45:00 +0200,0,1,714,0,321,1033,15
03.01.2023 12:00:00 +0200,4,0,863,0,131,1050,14
03.01.2023 12:15:00 +0200,0,4,795,0,223,1002,14
03.01.2023 12:30:00 +0200,20,0,2211,1244,0,1016,15
03.01.2023 12:45:00 +0200,57,0,3313,1710,0,1619,21
03.01.2023 13:00:00 +0200,36,0,2887,1606,0,1258,24
03.01.2023 13:15:00 +0200,32,0,3041,2177,0,903,30
03.01.2023 13:30:00 +0200,24,0,3403,2726,0,689,38
03.01.2023 13:45:00 +0200,35,0,3527,2921,0,636,46
03.01.2023 14:00:00 +0200,31,0,3467,3114,0,390,55
03.01.2023 14:15:00 +0200,34,0,3464,2843,0,649,64
03.01.2023 14:30:00 +0200,31,0,3435,2942,0,525,72
03.01.2023 14:45:00 +0200,38,0,3033,2542,0,541,81
03.01.2023 15:00:00 +0200,32,0,2748,2214,0,572,87
03.01.2023 15:15:00 +0200,45,0,2348,1713,0,662,94
03.01.2023 15:30:00 +0200,0,409,1913,958,0,552,98
03.01.2023 15:45:00 +0200,0,609,1164,0,151,693,100
03.01.2023 16:00:00 +0200,2,0,274,0,256,538,99
03.01.2023 16:15:00 +0200,8,0,242,0,805,1047,98
03.01.2023 16:30:00 +0200,0,6,48,0,1498,1541,94
03.01.2023 16:45:00 +0200,3,0,22,0,1317,1350,90
03.01.2023 17:00:00 +0200,0,1,18,0,910,939,87
03.01.2023 17:15:00 +0200,3,0,7,0,1015,1007,85
03.01.2023 17:30:00 +0200,0,14,2,0,1308,1297,81
03.01.2023 17:45:00 +0200,10,0,0,0,619,618,79
03.01.2023 18:00:00 +0200,0,5,0,0,1250,1243,76
03.01.2023 18:15:00 +0200,0,21,0,0,1057,989,72
03.01.2023 18:30:00 +0200,0,7,0,0,1026,983,70
03.01.2023 18:45:00 +0200,26,0,0,0,1346,1372,67
03.01.2023 19:00:00 +0200,10,0,0,0,1336,1362,63
03.01.2023 19:15:00 +0200,0,25,0,0,741,700,60
03.01.2023 19:30:00 +0200,0,15,0,0,1331,1318,57
03.01.2023 19:45:00 +0200,0,10,0,0,1364,1328,53
03.01.2023 20:00:00 +0200,11,0,0,0,1386,1397,49
03.01.2023 20:15:00 +0200,0,3,0,0,1386,1382,45
03.01.2023 20:30:00 +0200,15,0,0,0,1427,1437,41
03.01.2023 20:45:00 +0200,14,0,0,0,1422,1436,37
03.01.2023 21:00:00 +0200,6,0,0,0,1420,1426,33
03.01.2023 21:15:00 +0200,0,5,0,0,1406,1399,29
03.01.2023 21:30:00 +0200,12,0,0,0,1292,1304,25
03.01.2023 21:45:00 +0200,7,0,0,0,1287,1294,21
03.01.2023 22:00:00 +0200,11,0,0,0,1430,1419,17
03.01.2023 22:15:00 +0200,858,0,0,0,1414,2278,11
03.01.2023 22:30:00 +0200,2574,0,0,22,0,2551,9
03.01.2023 22:45:00 +0200,1428,0,0,22,0,1406,9
03.01.2023 23:00:00 +0200,1557,0,0,20,0,1536,8
03.01.2023 23:15:00 +0200,1487,0,0,23,0,1462,8
03.01.2023 23:30:00 +0200,1635,0,0,26,0,1608,8
03.01.2023 23:45:00 +0200,824,0,0,26,0,791,8
04.01.2023 00:00:00 +0200,1120,0,0,24,0,1098,8
04.01.2023 00:15:00 +0200,1226,0,0,24,0,1202,8
04.01.2023 00:30:00 +0200,1224,0,0,24,0,1201,8
04.01.2023 00:45:00 +0200,1225,0,0,24,0,1202,8
04.01.2023 01:00:00 +0200,1171,0,0,24,0,1148,8
04.01.2023 01:15:00 +0200,1118,0,0,24,0,1094,8
04.01.2023 01:30:00 +0200,1116,0,0,25,0,1092,8
04.01.2023 01:45:00 +0200,1120,0,0,25,0,1095,8
04.01.2023 02:00:00 +0200,1100,0,0,25,0,1076,8
04.01.2023 02:15:00 +0200,1150,0,0,25,0,1125,8
04.01.2023 02:30:00 +0200,1138,0,0,24,0,1114,8
04.01.2023 02:45:00 +0200,941,0,0,24,0,924,8
04.01.2023 03:00:00 +0200,646,0,0,24,0,623,8
04.01.2023 03:15:00 +0200,1164,0,0,24,0,1140,8
04.01.2023 03:30:00 +0200,1168,0,0,24,0,1144,8
04.01.2023 03:45:00 +0200,1165,0,0,23,0,1142,8
04.01.2023 04:00:00 +0200,1218,0,0,22,0,1196,8
04.01.2023 04:15:00 +0200,1231,0,0,22,0,1208,8
04.01.2023 04:30:00 +0200,1212,0,0,22,0,1190,8
04.01.2023 04:45:00 +0200,1141,0,0,22,0,1118,8
04.01.2023 05:00:00 +0200,1109,0,0,24,0,1085,8
04.01.2023 05:15:00 +0200,1247,0,0,23,0,1226,7
04.01.2023 05:30:00 +0200,1438,0,0,23,0,1414,7
04.01.2023 05:45:00 +0200,680,0,0,23,0,653,7
04.01.2023 06:00:00 +0200,1059,0,0,22,0,1028,7
04.01.2023 06:15:00 +0200,1180,0,0,22,0,1158,7
04.01.2023 06:30:00 +0200,1179,0,0,21,0,1158,7
04.01.2023 06:45:00 +0200,1208,0,0,23,0,1186,7
04.01.2023 07:00:00 +0200,1243,0,0,22,0,1221,7
04.01.2023 07:15:00 +0200,1285,0,0,22,0,1264,7
04.01.2023 07:30:00 +0200,1300,0,0,22,0,1279,7
04.01.2023 07:45:00 +0200,1258,0,0,22,0,1237,7
04.01.2023 08:00:00 +0200,1248,0,0,21,0,1227,7
04.01.2023 08:15:00 +0200,605,0,0,22,0,582,7
04.01.2023 08:30:00 +0200,1235,0,0,22,0,1213,7
04.01.2023 08:45:00 +0200,1292,0,0,22,0,1270,7
04.01.2023 09:00:00 +0200,1284,0,0,23,0,1261,7
04.01.2023 09:15:00 +0200,1323,0,0,22,0,1299,7
04.01.2023 09:30:00 +0200,1465,0,0,22,0,1442,7
04.01.2023 09:45:00 +0200,1082,0,1,22,0,1056,7
04.01.2023 10:00:00 +0200,757,0,4,27,0,738,7
04.01.2023 10:15:00 +0200,879,0,12,33,0,854,7
04.01.2023 10:30:00 +0200,781,0,9,34,0,755,7
04.01.2023 10:45:00 +0200,954,0,25,55,0,927,7
04.01.2023 11:00:00 +0200,664,0,35,75,0,623,8
04.01.2023 11:15:00 +0200,1071,0,41,77,0,1032,8
04.01.2023 11:30:00 +0200,520,0,66,93,0,493,8
04.01.2023 11:45:00 +0200,1172,0,95,133,0,1142,8
04.01.2023 12:00:00 +0200,536,0,50,85,0,501,8
04.01.2023 12:15:00 +0200,1034,0,83,114,0,1001,9
04.01.2023 12:30:00 +0200,643,0,154,185,0,612,9
04.01.2023 12:45:00 +0200,829,0,126,154,0,803,10
04.01.2023 13:00:00 +0200,765,0,69,101,0,738,10
04.01.2023 13:15:00 +0200,592,0,146,117,0,616,10
04.01.2023 13:30:00 +0200,837,0,100,31,0,907,10
04.01.2023 13:45:00 +0200,501,0,130,31,0,597,10
04.01.2023 14:00:00 +0200,731,0,115,31,0,812,10
04.01.2023 14:15:00 +0200,721,0,96,31,0,782,10
04.01.2023 14:30:00 +0200,885,0,75,31,0,924,10
04.01.2023 14:45:00 +0200,492,0,137,31,0,597,10
04.01.2023 15:00:00 +0200,992,0,103,30,0,1065,10
04.01.2023 15:15:00 +0200,426,0,43,31,0,437,10
04.01.2023 15:30:00 +0200,1199,0,23,31,0,1191,10
04.01.2023 15:45:00 +0200,1411,0,29,31,0,1410,10
04.01.2023 16:00:00 +0200,1019,0,43,30,0,1026,10
04.01.2023 16:15:00 +0200,726,0,37,30,0,734,10
04.01.2023 16:30:00 +0200,687,0,40,30,0,694,10
04.01.2023 16:45:00 +0200,764,0,35,30,0,770,10
04.01.2023 17:00:00 +0200,968,0,11,31,0,951,10
04.01.2023 17:15:00 +0200,698,0,0,30,0,668,10
04.01.2023 17:30:00 +0200,1137,0,0,30,0,1108,10
04.01.2023 17:45:00 +0200,594,0,0,29,0,564,10
04.01.2023 18:00:00 +0200,1309,0,0,29,0,1278,10
04.01.2023 18:15:00 +0200,959,0,0,29,0,942,10
04.01.2023 18:30:00 +0200,3552,0,0,28,0,3518,10
04.01.2023 18:45:00 +0200,2331,0,0,28,0,2312,10
04.01.2023 19:00:00 +0200,1083,0,0,28,0,1051,10
04.01.2023 19:15:00 +0200,1131,0,0,28,0,1107,10
04.01.2023 19:30:00 +0200,1084,0,0,28,0,1057,10
04.01.2023 19:45:00 +0200,1127,0,0,29,0,1101,10
04.01.2023 20:00:00 +0200,963,0,0,28,0,934,10
04.01.2023 20:15:00 +0200,1918,0,0,28,0,1892,10
04.01.2023 20:30:00 +0200,1922,0,0,28,0,1884,10
04.01.2023 20:45:00 +0200,1776,0,0,28,0,1744,10
04.01.2023 21:00:00 +0200,2002,0,0,28,0,1996,10
04.01.2023 21:15:00 +0200,1247,0,0,28,0,1218,10
04.01.2023 21:30:00 +0200,1150,0,0,28,0,1123,10
04.01.2023 21:45:00 +0200,903,0,0,28,0,875,10
04.01.2023 22:00:00 +0200,1349,0,0,28,0,1320,10
04.01.2023 22:15:00 +0200,2202,0,0,28,0,2170,10
04.01.2023 22:30:00 +0200,3426,0,0,28,0,3398,10
04.01.2023 22:45:00 +0200,2941,0,0,28,0,2910,10
04.01.2023 23:00:00 +0200,1684,0,0,28,0,1657,10
04.01.2023 23:15:00 +0200,1628,0,0,28,0,1600,10
04.01.2023 23:30:00 +0200,851,0,0,28,0,825,10
04.01.2023 23:45:00 +0200,1159,0,0,28,0,1133,10
05.01.2023 00:00:00 +0200,1232,0,0,28,0,1203,10
05.01.2023 00:15:00 +0200,610,0,0,27,0,584,10
05.01.2023 00:30:00 +0200,1092,0,0,28,0,1066,10
05.01.2023 00:45:00 +0200,948,0,0,28,0,918,10
05.01.2023 01:00:00 +0200,754,0,0,28,0,727,10
05.01.2023 01:15:00 +0200,1029,0,0,29,0,1005,10
05.01.2023 01:30:00 +0200,637,0,0,28,0,608,10
05.01.2023 01:45:00 +0200,1171,0,0,28,0,1142,10
05.01.2023 02:00:00 +0200,939,0,0,28,0,909,10
05.01.2023 02:15:00 +0200,706,0,0,28,0,682,10
05.01.2023 02:30:00 +0200,1086,0,0,28,0,1058,10
05.01.2023 02:45:00 +0200,531,0,0,28,0,511,10
05.01.2023 03:00:00 +0200,937,0,0,29,0,906,10
05.01.2023 03:15:00 +0200,953,0,0,29,0,919,10
05.01.2023 03:30:00 +0200,792,0,0,29,0,765,10
05.01.2023 03:45:00 +0200,1215,0,0,29,0,1186,10
05.01.2023 04:00:00 +0200,697,0,0,28,0,671,10
05.01.2023 04:15:00 +0200,974,0,0,29,0,947,10
05.01.2023 04:30:00 +0200,1012,0,0,28,0,980,10
05.01.2023 04:45:00 +0200,637,0,0,28,0,608,10
05.01.2023 05:00:00 +0200,1205,0,0,28,0,1177,10
05.01.2023 05:15:00 +0200,1507,0,0,27,0,1479,10
05.01.2023 05:30:00 +0200,1322,0,0,28,0,1288,10
05.01.2023 05:45:00 +0200,611,0,0,28,0,577,10
05.01.2023 06:00:00 +0200,1162,0,0,28,0,1134,10
05.01.2023 06:15:00 +0200,736,0,0,28,0,705,10
05.01.2023 06:30:00 +0200,796,0,0,28,0,768,10
05.01.2023 06:45:00 +0200,1125,0,0,28,0,1097,10
05.01.2023 07:00:00 +0200,639,0,0,27,0,610,10
05.01.2023 07:15:00 +0200,1006,0,0,27,0,977,10
05.01.2023 07:30:00 +0200,1162,0,0,27,0,1134,10
05.01.2023 07:45:00 +0200,795,0,0,28,0,765,10
05.01.2023 08:00:00 +0200,1254,0,0,28,0,1227,10
05.01.2023 08:15:00 +0200,774,0,0,28,0,747,10
05.01.2023 08:30:00 +0200,1088,0,0,28,0,1061,10
05.01.2023 08:45:00 +0200,1256,0,0,27,0,1228,10
05.01.2023 09:00:00 +0200,673,0,0,27,0,642,10
05.01.2023 09:15:00 +0200,1150,0,4,29,0,1122,10
05.01.2023 09:30:00 +0200,1315,0,14,29,0,1300,10
05.01.2023 09:45:00 +0200,1413,0,35,29,0,1419,10
05.01.2023 10:00:00 +0200,763,0,54,28,0,784,10
05.01.2023 10:15:00 +0200,552,0,260,28,0,779,10
05.01.2023 10:30:00 +0200,639,0,343,29,0,949,10
05.01.2023 10:45:00 +0200,284,0,176,29,0,430,10
05.01.2023 11:00:00 +0200,473,0,673,134,0,1007,10
05.01.2023 11:15:00 +0200,26,0,788,277,0,592,11
05.01.2023 11:30:00 +0200,28,0,348,0,376,767,11
